Amenity Type,Name,Latitude,Longitude,road,suburb,state_district,road_count,suburb_count,district_count
hospital,Shree Shyam Nursing Home,27.1237362,72.3781535,SH28,,Jodhpur(Rural),8,0,12
hospital,City Light Hospital,27.125921,72.38099,NH11,,Jodhpur(Rural),5,0,12
hospital,Kalapurnam General Hospital,27.1153438,72.4154398,SH19,,Jodhpur(Rural),21,0,12
hospital,Shiv Ganga Hospital,27.1303957,72.3678327,SH28,,Jodhpur(Rural),8,0,12
hospital,PBM Hospital PMR Public Medicine and Rehabilitation Wing Building,28.0054657,73.3280749,NH89,,Bikaner,49,0,150
arts_centre,IGNP Karyakaram,28.0492775,73.3193828,Lalgarh link SH 3,Lalgarh,Bikaner,3,2,150
cinema,Carnival Cinema,27.9936222,73.320586,NH89,Gangashahr,Bikaner,49,9,150
conference_centre,High Court,28.0212107,73.3218063,Mahatma Gandhi Road,,Bikaner,11,0,150
fountain,Saif's fountain,27.9914808,73.3216896,Sudarshana Nagar,,Bikaner,7,0,150
courthouse,District court,27.199504,73.7270819,SH19,,Nagaur,21,0,44
police,Police station,27.993946,73.3334857,Sudarshana Nagar,,Bikaner,7,0,150
post_office,Head post office,27.1997757,73.7297624,SH19,,Nagaur,21,0,44
post_office,Head Post office,28.0208354,73.3159852,Junagarh Fort Road,,Bikaner,9,0,150
marketplace,Yogi & Yogasan,28.0094004,73.3192161,NH89,,Bikaner,49,0,150
place_of_worship,Sai Baba Temple,27.9941172,73.3377737,Sudarshana Nagar,,Bikaner,7,0,150
place_of_worship,Nandishwar Mahadev Temple,28.021271,73.2794309,Moonlit School Road,,Bikaner,2,0,150
place_of_worship,Lakshminath (Hindu Temple),28.0045979,73.3002664,NH89,,Bikaner,49,0,150
