Amenity Type,Name,Latitude,Longitude,road,suburb,state_district,road_count,suburb_count,district_count,scaled_suburb,population
cafe,Cafe Coffee Day,28.6333474,77.0904058,Dharam Marg,Janakpuri,West Delhi,2,4,67,0.5405405405405406,2067
cafe,Cafe Coffee Day,28.6329087,77.086855,Shivaji Marg,Vikaspuri,West Delhi,13,3,67,0.40540540540540543,13067
cafe,Henry Cafe,28.5153468,77.2056028,IGNOU Road,Neb Sarai,South Delhi,24,25,231,3.3783783783783785,24234
cafe,the food factory,28.5341421,77.2169982,Late Shri Tirth Ram Sharma Marg,Malviya Nagar,South Delhi,5,26,231,3.5135135135135136,5234
cafe,wake up cafe,28.5355862,77.2166825,Late Shri Tirth Ram Sharma Marg,Malviya Nagar,South Delhi,5,26,231,3.5135135135135136,5234
cafe,Coffee Cafe 9,28.5316504,77.2186674,Path to Khirki Masjid,,South Delhi,2,0,231,0.0,2231
cafe,chaudhry tea  stall,28.5346351,77.220773,Adarsh Hospital Road,,South Delhi,2,0,231,0.0,2231
cafe,pandji tea stall ,28.5332807,77.2218792,Adarsh Hospital Road,,South Delhi,2,0,231,0.0,2231
cafe,Jain coffee house,28.650606,77.2295833,Ballimaran,Old Delhi,Central Delhi,1,26,99,3.5135135135135136,1102
cafe,Barista,28.5014001,77.1671574,Acharya Shri Tulsi Marg,,South Delhi,7,0,231,0.0,7231
cafe,The Junkyard Cafe,28.6303838,77.2207212,Outer Circle,Connaught Place,,28,74,0,10.0,28010
cafe,Blue Tokai Cafe,28.5529283,77.2078816,Aurobindo Marg,Hauz Khas,South Delhi,17,51,231,6.891891891891892,17237
cafe,Qd's,28.6361281,77.2855466,Patparganj Road,Preet Vihar,East Delhi,2,1,61,0.13513513513513514,2061
cafe,Laidback Café,28.5275009,77.217259,Birla Vidya Niketan Marg,Saket,South Delhi,5,25,231,3.3783783783783785,5234
cafe,Café Underpass Courtyard,28.5784821,77.2383126,Defence Colony Flyover,Lajpat Nagar,South East Delhi,2,35,189,4.72972972972973,2193
cafe,Sardar-Ji-Baksh Coffee and Company,28.5407564,77.2121254,Maharishi Dayanand Marg,,South Delhi,2,0,231,0.0,2231
cafe,Woodhouse Café,28.5362156,77.2095278,Basant Kaur Marg,,South Delhi,12,0,231,0.0,12231
cafe,Foresta Bistro & Cafe,28.5179998,77.1992482,Lane Number 3,,South Delhi,6,0,231,0.0,6231
cafe,Cafe Coffee Day,28.5626504,77.2446068,Mahatma Gandhi Marg,Lajpat Nagar,South East Delhi,24,35,189,4.72972972972973,24193
cafe,The Panchshila Rendezvous,28.5394874,77.2133656,Maharishi Dayanand Marg,Malviya Nagar,South Delhi,2,26,231,3.5135135135135136,2234
cafe,Down Town Café & Kitchen,28.5088733,77.2007595,IGNOU Road,Neb Sarai,South Delhi,24,25,231,3.3783783783783785,24234
cafe,Wagh Bakri Tea Lounge,28.6343528,77.2220221,Outer Circle,Chanakya Puri Tehsil,,28,56,0,7.567567567567568,28007
cafe,Mittal Teas,28.6299698,77.2229648,Connaught Lane,Connaught Place,,6,74,0,10.0,6010
cafe,Cafe Coffee Day,28.6330613,77.2198505,Rajiv Chowk,Connaught Place,,6,74,0,10.0,6010
cafe,Yamuna Café,28.701979,77.2288343,Doctor KB Hedgewar Marg,Majnu Ka Tila,Central Delhi,9,8,99,1.0810810810810811,9100
cafe,Koko Café and Restaurant,28.7005268,77.2276866,Doctor KB Hedgewar Marg,Majnu Ka Tila,Central Delhi,9,8,99,1.0810810810810811,9100
cafe,Cafe Coffee Day,28.6383221,77.1805949,Shankar Road,New Rajendra Nagar,West Delhi,5,8,67,1.0810810810810811,5068
cafe,Cafe Coffee Day,28.6493059,77.1228256,Shivaji Marg,,West Delhi,13,0,67,0.0,13067
