Amenity Type,Name,Latitude,Longitude,road,suburb,state_district
ice_cream,Lovely Icecream,26.2746039,82.472006,MDR113E,,Sultanpur
ice_cream,Robin & Baskin,25.4546929,81.8344152,Sardar Patel Marg,Civil Lines,Prayagraj
restaurant,Chatni,25.2941407,83.0050673,Pandit Manmohan Malviya Road,,Varanasi
restaurant,Marwadi Bhojanalay,25.311842,83.0109213,Tripura Bhairwi,,Varanasi
restaurant,Phulwari Restaurant,25.3099636,83.0071967,Dashashwamedh Road,,Varanasi
restaurant,Pizzeria Vaatika,25.289353,83.0060414,Assi Ghat Road,,Varanasi
restaurant,Karki's Restaurant,25.2882184,83.0053907,Assi Ghat Road,,Varanasi
restaurant,Kerala Cafe,25.2997186,83.001183,Durgakund Road,,Varanasi
restaurant,I:ba,25.2963844,83.0038952,Godowalia Lanka Road,,Varanasi
restaurant,Madhu Bahar,25.2886758,83.0039218,Pandit Manmohan Malviya Road,,Varanasi
restaurant,Star Hotel,25.3084967,83.009266,Dashashwamedh Road,,Varanasi
restaurant,Madhur Milan Cafe,25.3085405,83.0097158,Dashashwamedh Road,,Varanasi
restaurant,Hot Stuff,25.4527005,81.8346442,Lal Bahadur Shastri Marg,Civil Lines,Prayagraj
restaurant,SAGAR RATNA,25.4572438,81.8600908,Hashimpur Road,George Town,Prayagraj
restaurant,Bridges Restaurant,25.4539899,81.8348188,Sardar Patel Marg,Civil Lines,Prayagraj
restaurant,SHRI Guest House,25.3069623,83.0098553,Dashashwamedh Road,,Varanasi
restaurant,Spicy Bites,25.3051585,83.0081148,Dashashwamedh Road,,Varanasi
restaurant,Apex,25.3089237,83.0121258,Tripura Bhairwi,,Varanasi
restaurant,JIOM Resturnt,26.3073222,83.0722656,Baskhari Jahangirganj Rajesultanpur Road,,Ambedkar Nagar
restaurant,Gokul,26.6245265,83.3836093,NH24,,Gorakhpur
restaurant,Ganpati,25.309108,83.0122192,exit(kashi temple),,Varanasi
restaurant,kanjurmarg,26.0698073,83.1809162,shiv temple,,Azamgarh
restaurant,gopals,26.0699991,83.1809873,shiv temple,,Azamgarh
restaurant,New Baba,25.3049914,83.008162,Dashashwamedh Road,,Varanasi
