Latitude,Longitude
26.2651535,82.0725631
25.442863,81.8670851
26.3042343,83.0795069
25.3093104,83.003472
25.2653598,82.9898452
25.2637613,82.9841309
25.3000645,82.9729878
25.465973,81.86197
25.466971,81.862945
25.461064,81.826185
26.3070093,83.0766621
25.309149,83.0067144
25.3172234,82.9911145
25.3386245,82.981759
25.338642,82.9817789
25.3453057,82.9941765
25.3456489,82.9941807
25.351358,82.9935332
25.3093898,83.0030173
25.3900038,81.8634397
25.4016688,81.8693103
25.4017337,81.8693735
25.4020271,81.8697262
25.401167,81.8684867
25.4570374,81.8352544
25.3769574,81.8488699
25.4646294,81.870656
25.2606833,82.9816495
25.2608874,82.9816249
25.9269104,83.5661857
25.9300451,83.5666861
25.4622069,81.8563931
25.4510273,81.8304552
25.4620946,81.8653888
25.4619518,81.8459346
25.4657182,81.8569019
26.2932522,83.0925814
25.4389773,81.8582096
25.3172343,82.991197
25.4920966,81.8648709
25.4303516,81.8289879
25.4302684,81.8282172
25.4947383,81.8621768
25.3380613,82.9804377
25.4096906,81.9108845
25.2593349,82.9934338
25.2767178,82.9877373
25.2778038,82.9989742
25.281238,83.0032025
25.3452467,82.9939213
25.2497947,82.9933808
26.4270799,82.5332629
25.4575837,81.835317
25.4684687,81.8563101
25.311136,82.9862744
25.3028729,82.9746002
25.3043984,82.977972
25.3071357,82.9908639
25.3071065,82.9911615
25.2867485,83.0020165
25.3097717,82.9896733
25.3102527,82.9894139
25.3095044,83.0033371
25.3105427,82.9890026
25.3112313,82.9891875
25.284562,82.9597102
25.3082715,82.9912489
25.3073061,82.9941706
25.4508371,81.8748722
25.4480711,81.8590286
25.456723,81.8658677
25.4575064,81.8642422
25.2946849,83.0007772
25.0190209,82.362836
25.2874604,82.9444834
25.2874546,82.9443257
25.390893,81.8635954
25.3907074,81.8636433
25.3921424,81.863717
25.3880304,81.8659736
25.4511585,81.8296072
25.4497735,81.8362295
25.4507995,81.8331265
25.4013801,81.8691015
25.4378512,81.8405429
25.4380087,81.8407068
25.4557056,81.8361265
25.3768992,81.8489718
25.4720869,81.8682392
25.3924517,81.8638002
25.2675683,82.9662411
25.392236,81.8637364
25.3734307,82.9188949
25.3711535,82.9225816
24.9983342,82.075717
25.3673535,82.928706
25.3536914,82.965537
25.47131,83.2497737
26.2720615,82.4689125
25.4657711,81.8719984
25.4635254,81.8658128
25.4656341,81.8568128
26.2730429,82.4699582
26.2703444,82.4690031
26.2702763,82.4692681
25.4422,81.8837572
26.3104868,82.7345646
26.3093032,82.7411386
26.3098058,82.7345057
26.2639163,82.0742575
25.4517323,81.832585
25.447911,81.8343737
25.4514279,81.8301846
25.3041865,82.9784124
25.4551349,81.8350008
25.4394997,81.8597543
26.7398014,83.3749512
25.2965543,83.0058046
25.2887,83.5278967
25.1716198,83.6196336
25.4549816,81.8574438
25.4661464,81.8443251
25.4502705,81.8590102
25.4613291,81.8438295
25.3901604,82.567336
25.735593,82.6994187
